,pollster,date_x,sample,moe,Trump (R),Biden (D),spread,Difference,Type of Voter,Sample Size,End Date,Poll Month,Year,Days Since 01-01-23,date_y,trump,biden,biden_rolling,trump_rolling
0,Morning Consult,4/5 - 4/7,6236 RV,1.0,44.0,43.0,Trump+1,1.0,RV,6236,2024-04-07,4,2024,462,2024-04-07,43.6,41.0,41.0,43.6
1,Reuters/Ipsos,4/3 - 4/7,833 RV,4.0,37.0,41.0,Biden+4,-4.0,RV,833,2024-04-07,4,2024,462,2024-04-07,43.6,41.0,41.0,43.6
2,I&I/TIPP,4/3 - 4/5,1265 RV,2.8,40.0,43.0,Biden+3,-3.0,RV,1265,2024-04-05,4,2024,460,2024-04-05,43.4,40.6,40.6,43.4
3,Emerson,4/2 - 4/3,1438 RV,2.5,46.0,45.0,Trump+1,1.0,RV,1438,2024-04-03,4,2024,458,2024-04-03,44.3,39.0,39.0,44.3
4,Rasmussen Reports,3/31 - 4/2,1099 LV,3.0,49.0,41.0,Trump+8,8.0,LV,1099,2024-04-02,4,2024,457,2024-04-02,44.5,38.8,38.8,44.5
5,Data for Progress (D)**,3/27 - 3/29,1200 LV,3.0,46.0,47.0,Biden+1,-1.0,LV,1200,2024-03-29,3,2024,453,2024-03-29,44.8,38.6,38.6,44.8
6,NPR/PBS/Marist,3/25 - 3/28,1199 RV,3.7,48.0,50.0,Biden+2,-2.0,RV,1199,2024-03-28,3,2024,452,2024-03-28,45.2,38.0,38.0,45.2
7,Marquette,3/18 - 3/28,868 RV,4.3,50.0,50.0,Tie,0.0,RV,868,2024-03-28,3,2024,452,2024-03-28,45.2,38.0,38.0,45.2
8,Forbes/HarrisX,3/25 - 3/25,1010 RV,3.1,50.0,50.0,Tie,0.0,RV,1010,2024-03-25,3,2024,449,2024-03-25,45.5,37.5,37.5,45.5
9,FOX News,3/22 - 3/25,1094 RV,3.0,50.0,45.0,Trump+5,5.0,RV,1094,2024-03-25,3,2024,449,2024-03-25,45.5,37.5,37.5,45.5
10,Quinnipiac,3/21 - 3/25,1407 RV,2.6,45.0,48.0,Biden+3,-3.0,RV,1407,2024-03-25,3,2024,449,2024-03-25,45.5,37.5,37.5,45.5
